rank,mark,competitor,country,year
1,56:42,Jacob KIPLIMO,UGA,2025
2,57:30,Yomif KEJELCHA,ETH,2024
3,57:32,Kibiwott KANDIE,KEN,2020
4,57:41,Hagos GEBRHIWET,ETH,2023
5,57:49,Rhonex KIPRUTO,KEN,2020
6,57:50,Selemon BAREGA,ETH,2023
7,57:59,Alexander MUNYAO,KEN,2020
8,58:01,Geoffrey KAMWOROR,KEN,2019
9,58:05,Sabastian Kimaru SAWE,KEN,2024
10,58:07,Abel KIPCHUMBA,KEN,2021
11,58:10,Isaia Kipkoech LASOI,KEN,2024
12,58:11,Philemon KIPLIMO,KEN,2020
13,58:17,Daniel MATEIKO,KEN,2024
14,58:23,Zersenay TADESE,ERI,2010
14,58:23,Nicholas KIPKORIR,KEN,2025
16,58:24,Vincent Kibet LANGAT,KEN,2025
17,58:27,Gilbert Kipkosgei KIPROTICH,KEN,2025
18,58:28,Kennedy KIMUTAI,KEN,2021
19,58:33,Samuel Kamau WANJIRU,KEN,2007
19,58:33,Jemal MEKONEN,ETH,2018
21,58:35,Keneth Kiprop RENJU,KEN,2022
22,58:36,Seifu TURA,ETH,2022
23,58:39,Gemechu DIDA,ETH,2024
24,58:40,Abraham CHEROBEN,BRN,2017
24,58:40,Muktar EDRIS,ETH,2021
24,58:40,Amedework WALELEGN,ETH,2022
27,58:42,Bedan KAROKI,KEN,2018
27,58:42,Eric Kiprono KIPTANUI,KEN,2018
27,58:42,Stephen KIPROP,KEN,2019
27,58:42,Kelvin KIPTUM,KEN,2020
31,58:43,Mathew Kipkorir KIMELI,KEN,2021
32,58:44,Abadi HADIS,ETH,2018
32,58:44,Patrick MOSIN,KEN,2025
34,58:45,Benard Kibet KOECH,KEN,2023
35,58:46,Mathew Kipkoech KISORIO,KEN,2011
36,58:47,Atsedu TSEGAY,ETH,2012
36,58:47,Tadese WORKU,ETH,2022
36,58:47,Amos KURGAT,KEN,2024
39,58:48,Sammy KITWARA,KEN,2011
39,58:48,Jorum OKOMBO,KEN,2017
41,58:50,John KORIR,KEN,2024
42,58:51,Alex KORIO,KEN,2017
43,58:52,Patrick Makau MUSYOKI,KEN,2009
44,58:53,Charles Kipkkurui LANGAT,KEN,2023
44,58:53,Hillary Kipchirchir CHEPKWONY,KEN,2023
46,58:54,Stephen KIBET,KEN,2012
46,58:54,Andamlak BELIHU,ETH,2020
46,58:54,Rodrigue KWIZERA,BDI,2025
49,58:55,Haile GEBRSELASSIE,ETH,2006
49,58:55,Alex KIBET,KEN,2022
51,58:56,Stanley Kipleting BIWOTT,KEN,2013
51,58:56,Stephen KISSA,UGA,2020
53,58:57,Felix KIPKOECH,KEN,2021
54,58:58,Geoffrey MUTAI,KEN,2013
54,58:58,Milkesa MENGESHA,ETH,2022
56,58:59,Wilson Kipsang KIPROTICH,KEN,2009
56,58:59,Birhanu LEGESE,ETH,2023
58,59:01,Kenneth Kiprop KIPKEMOI,KEN,2014
59,59:02,Jonathan MAIYO,KEN,2012
60,59:04,Daniel Simiu EBENYO,KEN,2022
61,59:05,Evans Kiprop CHERUIYOT,KEN,2007
61,59:05,Ezekiel CHEBII,KEN,2012
63,59:06,Guye Idemo ADOLA,ETH,2014
63,59:06,Daniel KIPCHUMBA,KEN,2018
63,59:06,Haftu TEKLU,ETH,2022
63,59:06,Nibret MELAK,ETH,2023
67,59:07,Paul Malakwen KOSGEI,KEN,2006
67,59:07,James WANGARI,KEN,2016
67,59:07,Mang'ata Kimai NDIWA,KEN,2018
67,59:07,Benard KIMELI,KEN,2019
67,59:07,Benard Kipkorir NGENO,KEN,2019
72,59:08,Fikadu HAFTU,ETH,2019
72,59:08,Felix KIBITOK,KEN,2019
72,59:08,Roncer Kipkorir KONGA,KEN,2023
75,59:09,James Kipsang KWAMBAI,KEN,2009
75,59:09,Abraham KIPTUM,KEN,2018
