rank,mark,competitor,country,year
1,26:11.00,Joshua CHEPTEGEI,UGA,2020
2,26:17.53,Kenenisa BEKELE,ETH,2005
3,26:22.75,Haile GEBRSELASSIE,ETH,1998
4,26:27.85,Paul TERGAT,KEN,1997
5,26:30.03,Nicholas KEMBOI,KEN,2003
6,26:30.74,Abebe DINKESA,ETH,2005
7,26:31.01,Yomif KEJELCHA,ETH,2024
8,26:31.13,Berihu AREGAWI,ETH,2024
9,26:33.84,Grant FISHER,USA,2022
10,26:33.93,Jacob KIPLIMO,UGA,2021
11,26:34.14,Mohammed AHMED,CAN,2022
12,26:34.93,Selemon BAREGA,ETH,2024
13,26:35.63,Micah Kemboi KOGO,KEN,2006
14,26:36.26,Paul KOECH,KEN,1997
15,26:37.25,Zersenay TADESE,ERI,2006
16,26:37.93,Biniam MEHARY,ETH,2024
17,26:38.08,Salah HISSOU,MAR,1996
18,26:38.76,Ahmad Hassan ABDULLAH,QAT,2003
19,26:39.69,Sileshi SIHINE,ETH,2004
20,26:39.77,Boniface KIPROP,UGA,2005
21,26:41.75,Samuel Kamau WANJIRU,KEN,2005
22,26:42.65,Gemechu DIDA,ETH,2024
23,26:43.98,Lucas Kimeli ROTICH,KEN,2011
23,26:43.98,Benard Kibet KOECH,KEN,2024
25,26:44.36,Galen RUPP,USA,2014
26,26:45.91,Tadese WORKU,ETH,2022
27,26:46.35,Edwin KURGAT,KEN,2025
28,26:46.57,Mo FARAH,GBR,2011
29,26:47.72,Ishmael Rokitto KIPKURUI,KEN,2025
30,26:48.35,Imane MERGA,ETH,2011
31,26:48.95,Hagos GEBRHIWET,ETH,2019
32,26:48.99,Josphat Kipkoech BETT,KEN,2011
33,26:49.02,Eliud KIPCHOGE,KEN,2007
34,26:49.20,Moses Ndiema MASAI,KEN,2007
35,26:49.38,Sammy KIPKETER,KEN,2002
36,26:49.41,Paul Kipngetich TANUI,KEN,2014
37,26:49.49,Thierry NDIKUMWENAYO,ESP,2024
38,26:49.55,Moses MOSOP,KEN,2007
39,26:49.90,Assefa MEZGEBU,ETH,2002
40,26:50.00,Benson KIPLANGAT,KEN,2025
41,26:50.16,Rhonex KIPRUTO,KEN,2019
42,26:50.20,Richard LIMO,KEN,2002
43,26:50.64,Adriaan WILDSCHUTT,RSA,2024
44,26:50.81,Daniel MATEIKO,KEN,2024
45,26:50.94,Nicholas KIPKORIR,KEN,2024
46,26:51.02,Dejen GEBREMESKEL,ETH,2013
47,26:51.06,Habtom SAMUEL,ERI,2025
48,26:51.11,Yigrem DEMELASH,ETH,2016
49,26:51.16,Emmanuel Kipkemei BETT,KEN,2012
50,26:51.49,Charles Waweru KAMATHI,KEN,1999
51,26:51.68,Vincent Kiprop CHEPKOK,KEN,2012
52,26:52.12,Bedan KAROKI,KEN,2017
53,26:52.23,William SIGEI,KEN,1994
54,26:52.30,Mohammed MOURHIT,BEL,1999
55,26:52.33,Gebregziabher GEBREMARIAM,ETH,2007
56,26:52.65,Kenneth Kiprop KIPKEMOI,KEN,2012
56,26:52.65,Geoffrey KAMWOROR,KEN,2015
58,26:52.72,Nico YOUNG,USA,2024
59,26:52.79,Telahun Haile BEKELE,ETH,2025
60,26:52.85,Abera KUMA,ETH,2013
61,26:52.87,John Cheruiyot KORIR,KEN,2002
61,26:52.87,Andreas ALMGREN,SWE,2024
63,26:52.93,Mark Kipkinyor BETT,KEN,2005
64,26:53.15,Andamlak BELIHU,ETH,2019
65,26:54.25,Mathew Kipkoech KISORIO,KEN,2011
66,26:54.39,Jemal MEKONEN,ETH,2019
67,26:54.61,Stephen SAMBU,KEN,2014
68,26:54.64,Mark Kosgei KIPTOO,KEN,2011
69,26:54.66,William Malel SITONIK,KEN,2016
70,26:54.76,Richard YATOR,KEN,2022
71,26:55.29,Leonard Patrick KOMON,KEN,2011
72,26:55.51,Merhawi MEBRAHTU,ERI,2024
73,26:55.73,Geoffrey KIRUI,KEN,2011
74,26:56.36,Stanley Waithaka MBURU,KEN,2025
75,26:56.46,Abadi HADIS,ETH,2019
76,26:56.74,Josphat Kiprono MENJO,KEN,2010
77,26:57.30,Graham BLANKS,USA,2025
78,26:57.33,Tamirat TOLA,ETH,2016
79,26:57.36,Josphat Muchiri NDAMBIRI,KEN,2009
80,26:57.57,William KINCAID,USA,2024
81,26:57.80,Daniel Simiu EBENYO,KEN,2023
82,26:58.38,Yobes ONDIEKI,KEN,1993
83,26:58.67,Jimmy GRESSIER,FRA,2024
84,26:58.75,Ibrahim JEILAN,ETH,2016
85,26:58.97,Kibiwott KANDIE,KEN,2024
86,26:59.60,Chris SOLINSKY,USA,2010
87,26:59.61,Bernard Kiprop KIPYEGO,KEN,2007
88,26:59.81,Titus Kipjumba MBISHEI,KEN,2011
89,26:59.88,Martin Irungu MATHATHI,KEN,2009
90,27:00.22,Gulveer SINGH,IND,2025
91,27:00.24,Milkesa MENGESHA,ETH,2022
92,27:00.73,Berehanu TSEGU,ETH,2019
93,27:01.83,Gideon NGATUNYI,KEN,2009
94,27:01.95,Jonathan Muia NDIKU,KEN,2020
95,27:01.98,Wilson KIPROP,KEN,2012
96,27:02.26,Solomon BERIHU,ETH,2019
97,27:02.59,Nicholas Mboroto KOSIMBEI,KEN,2016
98,27:02.62,Abderrahim GOUMRI,MAR,2005
98,27:02.62,Deriba Merga EJIGU,ETH,2007
100,27:03.19,Ahmed MUHUMED,USA,2025
101,27:03.24,Tariku BEKELE,ETH,2012
102,27:03.49,Kaan Kigen ÖZBILEN,KEN,2012
103,27:04.17,Mezgebu SIME,ETH,2025
104,27:04.18,Robert Sigei KIPNGETICH,KEN,2007
105,27:04.20,Abraham CHEBII,KEN,2001
106,27:04.48,Moses Ndiema KIPSIRO,UGA,2012
107,27:04.54,Felix LIMO,KEN,2000
108,27:04.72,Lopez LOMONG,USA,2019
109,27:04.89,Tadesse TOLA,ETH,2007
110,27:04.92,Ali ABDOSH,ETH,2007
111,27:05.88,Patrick Mutuku IVUTI,KEN,2002
112,27:06.16,Kidane TADESSE,ERI,2008
113,27:06.17,John Yuda MSURI,TAN,2002
114,27:06.44,Worku BIKILA,ETH,1995
115,27:06.45,Habte JIFAR,ETH,1999
116,27:06.47,Awash Habtamu FIKADU,ETH,2007
117,27:06.59,Ismael KIRUI,KEN,1995
118,27:06.88,Richard ETIR,KEN,2023
119,27:07.49,Birhanu BALEW,BRN,2021
120,27:07.51,Cameron LEVINS,CAN,2015
121,27:07.55,Benjamin MAIYO,KEN,2001
121,27:07.55,Shadrack KIPCHIRCHIR,USA,2017
123,27:07.57,Joe KLECKER,USA,2023
124,27:07.59,Emmanuel Korir KIPLAGAT,KEN,2022
125,27:07.65,Samwel Chebolei MASAI,KEN,2025
126,27:07.85,Daniel Lemashon SALEL,KEN,2010
127,27:07.91,Richard CHELIMO,KEN,1993
128,27:07.97,Isaac KIMELI,BEL,2024
129,27:08.23,Arturo BARRIOS,MEX,1989
130,27:08.39,Samuel CHELANGA,KEN,2010
131,27:08.81,Patrick DEVER,GBR,2024
132,27:08.85,Yismaw DILLU,ETH,2023
133,27:08.94,Anthony ROTICH,USA,2024
134,27:09.46,Sabastian Kimaru SAWE,KEN,2022
135,27:09.57,Jack RAYNER,AUS,2024
136,27:09.74,Aron KIFLE,ERI,2024
137,27:09.78,Guye Idemo ADOLA,ETH,2016
138,27:09.8h,Bernard Kipkemoi ROTICH,KEN,2008
139,27:09.80,Kazuya SHIOJIRI,JPN,2023
140,27:09.96,Emmanuel Moi MARU,KEN,2023
141,27:10.34,Josphat Machuka KIPRONO,KEN,1995
142,27:10.41,Marc SCOTT,GBR,2021
143,27:10.72,Amos KURGAT,KEN,2023
144,27:10.76,Yemaneberhan CRIPPA,ITA,2019
145,27:11.00,Casey CLINGER,USA,2025
146,27:11.03,Gideon Kipkertich RONO,KEN,2022
147,27:11.08,Abraham CHEROBEN,BRN,2017
148,27:11.09,Peter KAMAIS,KEN,2008
149,27:11.17,Julius GITAHI,KEN,1998
150,27:11.52,Philemon Kiplagat RUTO,KEN,2022
151,27:11.62,John NGUGI,KEN,1991
152,27:11.83,Belay Tilahun BEZABEH,ETH,2016
153,27:11.88,John Kimondo THUO,KEN,2009
153,27:11.88,Evans Keitany KIPTUM,KEN,2022
155,27:11.93,Eshetu WENDIMU,ETH,2007
156,27:11.98,Lelisa DESISA,ETH,2012
157,27:12.22,Dejene BIRHANU,ETH,2005
158,27:12.27,Kiprono SITONIK,KEN,2023
159,27:12.37,Luke KIPKOSGEI,KEN,2001
160,27:12.39,Ismail SGHYR,MAR,1999
161,27:12.42,Sammy Alex MUTAHI,KEN,2007
162,27:12.47,António PINTO,POR,1999
163,27:12.53,Tomoki OTA,JPN,2023
164,27:12.73,Paul CHELIMO,USA,2023
165,27:13.04,Akira AIZAWA,JPN,2023
166,27:13.48,Girma TOLA,ETH,1999
167,27:13.81,Fernando MAMEDE,POR,1984
168,27:13.94,Edward WAWERU,KEN,2010
169,27:13.98,Mebrahtom KEFLEZIGHI,USA,2001
170,27:14.13,Terefe Zewdie MEREGA,ETH,2008
171,27:14.26,Fita BAYISSA,ETH,1992
172,27:14.34,Birhan NEBEBEW,ETH,2013
173,27:14.43,Mathew Kipkorir KIMELI,KEN,2017
174,27:14.44,Fabián RONCERO,ESP,1998
175,27:14.53,Khalid SKAH,MAR,1995
176,27:14.83,Edwin Cheruiyot SOI,KEN,2006
177,27:14.84,John KARIUKI,KEN,2006
178,27:14.95,Ben TRUE,USA,2021
179,27:15.58,Cosmas Mwangi BOI,KEN,2022
180,27:15.68,Raji ASSEFA,ETH,2007
181,27:16.49,Kimutai KIPLIMO,KEN,2008
182,27:16.50,Salvatore ANTIBO,ITA,1989
183,27:16.69,Teklemariam MEDHIN,ERI,2012
184,27:16.76,Tsegay KIDANU,ETH,2022
185,27:16.99,Abdi ABDIRAHMAN,USA,2008
186,27:17.03,Isiah Kiplangat KOECH,KEN,2012
187,27:17.14,Kieran TUNTIVATE,THA,2021
188,27:17.18,Muktar EDRIS,ETH,2015
189,27:17.20,William Kiptum MUIGEI,KEN,1994
190,27:17.28,Abdihamid NUR,USA,2024
191,27:17.29,Julien WANDERS,SUI,2019
